"用户id","年龄","性别","门店id","评分","人均价格","是否点击"
"1","22","M","315","4","193","0"
"1","16","F","431","3","193","1"
"1","62","F","489","3","72","1"
"1","12","M","398","0","216","1"
"1","76","M","307","3","131","0"
"1","54","M","490","1","205","0"
"1","38","M","308","2","227","1"
"1","56","M","400","3","82","1"
"1","65","F","426","0","136","0"
"2","48","F","328","3","64","1"
"2","30","F","305","2","163","0"
"2","57","M","412","3","200","1"
"2","54","M","233","3","122","0"
"2","20","M","101","3","68","0"
"2","29","F","120","4","186","1"
"3","52","F","452","4","50","0"
"3","49","F","232","0","172","1"
"3","14","F","305","3","174","1"
"3","17","M","440","3","171","0"
"3","51","F","399","1","153","0"
"3","53","M","124","1","160","0"
"3","30","F","146","0","76","1"
"3","34","F","407","1","134","1"
"3","55","M","232","1","93","1"
"3","73","M","484","1","187","0"
"3","45","M","466","3","166","0"
"3","28","F","402","3","94","0"
"4","77","M","143","2","190","0"
"4","22","M","103","3","99","1"
"4","66","M","145","0","184","0"
"4","14","M","178","3","160","0"
"4","44","F","234","2","82","0"
"4","79","F","129","0","210","1"
"4","24","M","318","4","164","1"
"4","24","F","281","4","235","1"
"4","11","M","428","4","86","1"
"4","10","F","387","4","74","1"
"4","53","F","220","4","110","0"
"4","77","M","173","4","166","1"
"6","39","M","288","1","113","0"
"6","44","M","223","3","92","0"
"6","62","M","337","0","104","0"
"6","57","M","134","2","130","0"
"6","23","M","129","1","67","0"
"6","37","F","396","1","198","1"
"6","17","F","223","1","92","1"
"6","38","M","328","2","149","0"
"6","54","F","430","2","123","0"
"6","70","F","155","3","185","1"
"6","33","M","289","2","112","1"
"6","64","M","233","1","191","1"
"7","25","F","421","3","86","0"
"7","52","F","331","3","100","0"
"7","32","F","250","3","108","1"
"7","29","F","223","4","181","0"
"7","56","F","318","3","148","1"
"7","41","M","425","0","112","0"
"7","31","F","264","4","112","0"
"7","74","F","401","2","80","0"
"7","24","M","454","2","93","0"
"10","26","M","229","2","168","1"
"10","38","F","471","2","210","0"
"10","71","M","133","3","248","0"
"10","46","M","281","2","130","0"
"10","76","M","316","0","244","0"
"10","47","M","383","2","123","1"
"10","39","M","308","3","106","0"
"10","61","M","329","3","111","1"
"10","45","M","371","2","179","0"
"10","64","M","275","1","170","0"
"10","28","M","173","1","67","0"
"10","79","F","275","4","157","1"
"10","34","F","406","4","195","1"
"10","45","M","187","2","153","1"
"10","73","M","452","2","231","0"
"10","17","F","191","2","156","1"
"10","59","M","419","2","102","0"
"10","45","F","256","3","84","0"
"11","50","F","150","1","243","0"
"11","61","F","138","2","86","1"
"11","28","F","364","2","98","0"
"11","50","F","385","1","129","1"
"11","18","M","153","2","203","1"
"11","74","F","238","1","248","1"
"11","43","M","350","2","156","1"
"11","66","F","326","4","97","0"
"11","32","F","381","1","120","1"
"12","24","F","230","1","50","1"
"12","68","M","244","4","82","0"
"12","23","F","330","3","165","1"
"12","77","M","361","0","65","0"
"12","62","M","294","4","110","0"
"12","72","M","335","0","211","0"
"12","15","M","292","1","181","0"
"12","76","F","270","2","157","0"
"12","17","F","295","4","62","1"
"14","52","M","313","4","205","1"
"14","57","M","463","3","203","1"
"14","36","F","435","1","50","1"
"14","78","F","193","1","183","1"
"14","31","M","379","1","155","1"
"14","46","F","418","0","213","1"
"14","16","M","423","4","229","1"
"14","30","M","149","4","234","0"
"14","36","M","113","4","216","1"
"14","36","M","112","2","224","0"
"14","24","F","355","3","111","0"
"14","31","M","454","2","58","0"
"14","78","F","193","0","53","1"
"15","28","F","110","0","96","1"
"15","74","M","243","4","199","0"
"15","14","F","405","2","216","1"
"15","22","F","256","4","235","0"
"15","77","M","276","0","68","1"
"15","34","F","256","3","97","0"
"15","15","M","218","0","82","1"
"15","27","F","447","1","84","1"
"15","36","M","498","4","167","1"
"15","77","F","441","1","243","1"
"15","34","F","429","0","147","1"
"15","60","F","433","3","188","0"
"15","53","F","445","1","210","1"
"15","10","F","442","2","175","1"
"15","17","F","256","0","109","0"
"15","20","M","310","1","111","1"
"15","34","M","311","4","62","0"
"16","19","M","236","2","210","1"
"16","58","M","217","2","90","0"
"16","46","M","493","1","111","0"
"16","34","M","145","0","199","0"
"16","52","M","459","2","232","0"
"16","42","F","441","0","153","0"
"16","32","M","446","4","69","1"
"16","38","F","379","3","226","0"
"16","78","F","286","4","241","1"
"16","77","F","417","0","76","0"
"16","34","F","354","2","113","0"
"17","40","M","443","3","167","1"
"17","72","M","114","3","156","1"
"17","10","F","187","2","239","0"
"17","72","F","368","2","151","0"
"17","43","F","266","1","139","1"
"17","56","F","386","3","214","1"
"17","62","F","225","2","187","1"
"17","73","F","382","1","159","0"
"18","30","M","361","3","181","0"
"18","13","M","189","3","159","1"
"18","32","F","301","1","81","0"
"18","12","F","278","2","113","1"
"18","43","M","206","0","138","1"
"18","62","F","163","1","105","0"
"18","61","M","181","0","195","1"
"18","34","M","347","3","227","0"
"18","47","F","169","4","202","0"
"18","71","F","123","3","93","1"
"18","40","M","438","4","237","0"
"18","60","M","153","1","193","1"
"18","40","M","237","4","57","1"
"18","11","F","246","4","60","0"
"18","61","F","277","4","90","1"
"18","75","F","285","2","64","0"
"18","17","M","239","0","187","1"
"19","41","M","206","3","215","0"
"19","69","F","419","2","153","1"
"19","37","M","394","4","93","0"
"19","44","F","389","0","127","0"
"19","43","F","292","4","139","0"
"19","26","M","416","1","143","0"
"19","57","F","433","1","200","1"
"20","75","M","296","1","93","0"
"20","63","F","200","0","52","0"
"20","36","F","154","1","231","0"
"20","57","F","314","2","105","0"
"20","63","M","423","2","58","1"
"20","32","F","380","4","148","1"
"20","14","M","482","4","245","0"
"20","75","F","255","2","236","1"
"20","60","M","143","1","177","1"
"20","60","M","433","3","208","0"
"20","79","F","337","3","104","1"
"20","57","M","218","2","86","0"
"20","26","M","142","2","125","1"
"20","32","M","277","3","199","1"
"20","44","M","350","3","198","0"
"20","20","F","411","1","92","0"
"20","44","F","338","3","249","0"
